# Global Carbon Budget 2020 — Historical Budget
#
# Historical CO2 budget
# All values in billion tonnes of carbon per year (GtC/yr), for the globe. For values in billion tonnes of carbon dioxide (CO2) per year, multiply the numbers below by 3.664.
# 1 billion tonnes C = 1 petagram of carbon (10^15 gC) = 1 gigatonne C = 3.664 billion tonnes of CO2
# Please note: The methods used to estimate the historical fluxes presented below differ from the carbon budget presented from 1959 onwards. For example, the atmospheric growth and ocean sink do not account for year-to-year variability before 1958.
# Uncertainties: see the original papers for uncertainties
# Cite as:  Friedlingstein et al (2020; see summary tab)
# Fossil fuel combustion and cement production emissions:  Friedlingstein et al. (2020)
# Land-use change emissions as average of three bookkeeping models: Houghton, R. A. and Nassikas, A. A.: Global and regional fluxes of carbon from land use and land cover change 1850-2015, Global Biogeochemical Cycles, 31, 456-472, 2017;  Hansis, E., Davis, S. J., and Pongratz, J.: Relevance of methodological choices for accounting of land use change carbon fluxes, Global Biogeochemical Cycles, 29, 1230-1246, 2015.
# Atmospheric CO2 growth rate: Joos, F. and Spahni, R.: Rates of change in natural and anthropogenic radiative forcing over the past 20,000 years, Proceedings of the National Academy of Science, 105, 1425-1430, 2008.
# The ocean CO2 sink (1781-1958) is the average of the two diagnostic ocean models: DeVries, T.: The oceanic anthropogenic CO2 sink: Storage, air-sea fluxes, and transports over the industrial era, Global Biogeochemical Cycles, 28, 631-647, 2014; and Khatiwala, S., Tanhua, T., Mikaloff Fletcher, S. E., Gerber, M., Doney, S. C., Graven, H. D., Gruber, N., McKinley, G. A., Murata, A., Rios, A. F., and Sabine, C. L.: Global ocean storage of anthropogenic carbon, Biogeosciences, 10, 2169-2191, 2013. The ocean CO2 sink (1959-2019) is the average of several global ocean biogeochemistry models used in GCB2020.
# The land sink is the average of several dynamic global vegetation models that reproduce the observed mean total land sink of the 1990s.
# Cement carbonation is the average of two estimates: Friedlingstein et al. (2020)
# The budget imbalance is the sum of emissions (fossil fuel and industry + land-use change) minus (atmospheric growth + ocean sink + land sink + cement carbonation sink); it is a measure of our imperfect data and understanding of the contemporary carbon cycle.
#
#
#
#
# Generated with openclimatedata 0.33 from the GCB Excel file from 10.18160/gcp-2020
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
Year,fossil emissions excluding carbonation,land-use change emissions,atmospheric growth,ocean sink,land sink,cement carbonation sink,budget imbalance
1750,0.002552,,-0.077592,,0.173772963684118,,
1751,0.002552,,-0.073988,,-0.452639963200188,,
1752,0.002553,,-0.070596,,-0.280657984530913,,
1753,0.002553,,-0.067628,,-0.0233576222022241,,
1754,0.002554,,-0.064024,,-0.13686973499278,,
1755,0.002555,,-0.058088,,-0.19653261747002,,
1756,0.002731,,-0.050244,,0.281749763349765,,
1757,0.002732,,-0.04028,,0.556512544114016,,
1758,0.002733,,-0.028408,,-0.097389876180752,,
1759,0.002734,,-0.014204,,-0.622393710202296,,
1760,0.002734,,0.001908,,0.193155720861704,,
1761,0.002995,,0.02014,,-0.581736872551831,,
1762,0.002996,,0.040492,,-0.630120065691608,,
1763,0.002997,,0.062752,,0.330146676417073,,
1764,0.002998,,0.087344,,0.428975545287186,,
1765,0.002999,,0.11236,,-0.181952746605709,,
1766,0.003346,,0.135256,,0.225610593006764,,
1767,0.003347,,0.156032,,0.297279377191829,,
1768,0.003348,,0.174476,,0.362709611336206,,
1769,0.003349,,0.190588,,-0.026063030171749,,
1770,0.00335,,0.20458,,0.0911321797316953,,
1771,0.003715,,0.216452,,-0.227109892195812,,
1772,0.003716,,0.225992,,-0.238657841690667,,
1773,0.003717,,0.2332,,0.121505829735719,,
1774,0.003718,,0.238288,,-0.0404879662120891,,
1775,0.003719,,0.242528,,0.0527774010788141,,
1776,0.004104,,0.248464,,0.419617160151831,,
1777,0.004105,,0.256308,,0.58485722277349,,
1778,0.004106,,0.26606,,0.0483797689166734,,
1779,0.004107,,0.27772,,-0.397221813549355,,
1780,0.004109,,0.2915,,0.389020546158423,,
1781,0.004597,,0.31482,0.07433,-0.38933111961981,,
1782,0.004598,,0.348316,0.082155,-0.39496558244152,,
1783,0.0046,,0.378844,0.08952,0.593368738180818,,
1784,0.004601,,0.40598,0.10207,0.775620157487232,,
1785,0.004604,,0.429512,0.104205,0.0713404860663344,,
1786,0.005227,,0.44944,0.11673,0.445085940105008,,
1787,0.005229,,0.465764,0.12393,0.478633077602383,,
1788,0.00523,,0.478696,0.131105,0.556923149272559,,
1789,0.005232,,0.488024,0.13301,0.211435350372142,,
1790,0.005234,,0.493748,0.14019,0.427551817600515,,
1791,0.005846,,0.495868,0.147095,-0.107033838965048,,
1792,0.005976,,0.494384,0.14901,0.0967587389919159,,
1793,0.005981,,0.489296,0.15568,0.298991522087262,,
1794,0.005972,,0.480816,0.15749,0.301290635159287,,
1795,0.005975,,0.468732,0.163805,0.297052793221981,,
1796,0.006264,,0.45474,0.164995,0.651791135207938,,
1797,0.006576,,0.439476,0.1658,0.970242662986138,,
1798,0.006849,,0.42188,0.16673,0.382631778056645,,
1799,0.007213,,0.401952,0.167235,-0.0810222895414536,,
1800,0.007667,,0.38054,0.17277,0.585415448568631,,
1801,0.007631,,0.361672,0.173235,-0.051607348429046,,
1802,0.010039,,0.34238,0.173365,-0.0717900572601203,,
1803,0.008594,,0.321816,0.17367,0.753319385677009,,
1804,0.009364,,0.300192,0.17359,0.929823770064551,,
1805,0.009121,,0.277296,0.17356,0.185161293222041,,
1806,0.009565,,0.25334,0.173505,0.534039109299298,,
1807,0.010064,,0.228112,0.173135,0.601630761492035,,
1808,0.00957,,0.201824,0.17295,0.698693711091627,,
1809,0.009577,,0.174264,0.17259,0.356621527529925,,
1810,0.010202,,0.145644,0.17252,0.51107314418246,,
1811,0.010803,,0.115752,0.16692,-0.0133696665690108,,
1812,0.011192,,0.0848,0.16627,0.0572651904259884,,
1813,0.01125,,0.052576,0.165735,0.316542052840951,,
1814,0.011498,,0.019292,0.16021,0.279051055954833,,
1815,0.011869,,-0.014628,0.15963,0.310129608733329,,
1816,0.013009,,-0.044308,0.15875,0.595565018420101,,
1817,0.013491,,-0.067628,0.15806,0.881465864678808,,
1818,0.013549,,-0.0848,0.15751,0.226940822673179,,
1819,0.013632,,-0.095612,0.15205,-0.345702125169262,,
1820,0.013834,,-0.099852,0.15117,0.458020914010616,,
1821,0.014038,,-0.098156,0.15066,-0.278907832281783,,
1822,0.014592,,-0.089888,0.149595,-0.263493717060015,,
1823,0.015434,,-0.07526,0.144045,0.520640603249772,,
1824,0.015973,,-0.054484,0.14338,0.65433648094521,,
1825,0.016582,,-0.027348,0.14237,0.111563168287148,,
1826,0.016763,,0.006148,0.14153,0.404673910640454,,
1827,0.01799,,0.043248,0.1408,0.510535082425394,,
1828,0.018187,,0.068264,0.140145,0.517551312081454,,
1829,0.018121,,0.088192,0.13505,0.131646439916647,,
1830,0.024324,,0.106424,0.13455,0.358791502351867,,
1831,0.02307,,0.122324,0.134,-0.131970278804769,,
1832,0.023229,,0.136528,0.13352,-0.0459465804849185,,
1833,0.023692,,0.148612,0.13358,0.180854667538855,,
1834,0.02415,,0.160484,0.1337,0.00827080208944254,,
1835,0.024685,,0.179352,0.133975,0.195648831635031,,
1836,0.028596,,0.205428,0.13412,0.497487751280957,,
1837,0.028573,,0.237016,0.134745,0.724898399486572,,
1838,0.029488,,0.274116,0.13561,0.168873079238418,,
1839,0.030462,,0.316092,0.136535,-0.246572280140329,,
1840,0.032459,,0.361248,0.132865,0.493868737174435,,
1841,0.033466,,0.408948,0.13897,-0.364947076385855,,
1842,0.035345,,0.454528,0.140425,-0.264659426182732,,
1843,0.036259,,0.479544,0.14147,0.693764246434705,,
1844,0.038598,,0.479332,0.14274,0.816003375425683,,
1845,0.042361,,0.456436,0.14418,0.12944894972492,,
1846,0.043066,,0.421456,0.150135,0.485763420093004,,
1847,0.047053,,0.376936,0.15123,0.642231814290878,,
1848,0.047439,,0.323088,0.1572,0.701695885498139,,
1849,0.050085,,0.259276,0.15831,0.319470602690229,,
1850,0.053738,0.674496160296122,0.18868,0.164195,0.452833372512266,,-0.07747421221614398
1851,0.054242,0.679292938423157,0.125504,0.165485,0.00446171746059949,,0.43808422096255756
1852,0.056631,0.684154807921092,0.069536,0.171645,0.0705860464494577,,0.4290187614716342
1853,0.059252,0.689020241081238,0.00954,0.172905,0.273881771700155,,0.29194546938108307
1854,0.069599,0.692163693058014,-0.038796,0.17432,0.194523531681812,,0.4317151613762019
1855,0.07097,0.69479520107015,-0.063388,0.18083,0.219565856430029,,0.42875734464012105
1856,0.07563,0.69878967261378,-0.063176,0.18227,0.516420966230133,,0.13890470638364694
1857,0.076332,0.704624584974925,-0.052788,0.18896,0.854392610198491,,-0.20960802522356603
1858,0.077502,0.709590279696146,-0.036252,0.19561,0.291845358117059,,0.33588892157908684
1859,0.082151,0.712655639128367,-0.01378,0.1976,-0.271489703902487,,0.882476343030854
1860,0.090259,0.691598568229675,0.01484,0.19967,0.461042568200742,,0.106305000028933
1861,0.09492,0.683423001146952,0.05088,0.206965,-0.316957229804188,,0.83745523095114
1862,0.096647,0.679563739241282,0.094552,0.219015,-0.306137056802921,,0.7687807960442031
1863,0.103145,0.677323949479421,0.146068,0.22639,0.480887476724254,,-0.07287652724483296
1864,0.111122,0.675416178220113,0.2067,0.228825,0.735052712664274,,-0.3840395344441609
1865,0.118004,0.675272114817302,0.273692,0.236465,0.0715531663360912,,0.21156594848121069
1866,0.121735,0.672300851178487,0.334324,0.244015,0.420716725038495,,-0.20501987386000795
1867,0.130408,0.670592536580403,0.385204,0.25209,0.608430593384139,,-0.444724056803736
1868,0.133939,0.669302753991445,0.426544,0.259695,0.63754783153298,,-0.520545077541535
1869,0.14223,0.669208166810353,0.458344,0.26803,0.314349835538883,,-0.22928566872853
1870,0.145343,0.724501881479899,0.480816,0.271125,0.532793149572507,,-0.414889268092608
1871,0.154515,0.75196078261439,0.494596,0.27913,-0.0964839542177232,,0.22923373683211334
1872,0.170953,0.76996454346466,0.496504,0.287825,0.104879113704964,,0.05170942975969606
1873,0.18161,0.787209690949758,0.485692,0.295945,0.335742561287575,,-0.1485598703378171
1874,0.170032,0.80108896032842,0.46216,0.30465,0.357450659607163,,-0.153139699278743
1875,0.184443,0.814642078964233,0.430572,0.313115,0.356116087937743,,-0.10071800897351002
1876,0.187105,0.826350867540995,0.409584,0.3218,0.692224116175815,,-0.4101522486348199
1877,0.190802,0.836391677907308,0.404072,0.33546,1.02221459339327,,-0.7345529154859621
1878,0.192294,0.845416084326426,0.413824,0.34427,0.349239895010573,,-0.06962381068414703
1879,0.206069,0.85215226425298,0.437144,0.35277,-0.0736608091892365,,0.3419680734422166
1880,0.233049,0.855364310798645,0.467672,0.36152,0.771913132092911,,-0.5126918212942662
1881,0.240881,0.868278344577789,0.5035,0.370275,0.0154181119364897,,0.2199662326412993
1882,0.254402,0.877394868357341,0.544628,0.37901,-0.0976443057167827,,0.30580317407412383
1883,0.270544,0.887649623919169,0.591268,0.38723,0.805782731208537,,-0.6260871072893681
1884,0.273589,0.896442322039286,0.646176,0.395745,0.99698899772219,,-0.868878675682904
1885,0.27563,0.904572784559886,0.718468,0.404035,0.348613090513689,,-0.29091330595380305
1886,0.279948,0.909570003444671,0.782068,0.40716,0.724108210291119,,-0.7238182068464483
1887,0.293953,0.914864461190541,0.820652,0.415325,0.847992706956533,,-0.8751522457659919
1888,0.325487,0.920554343407949,0.838036,0.418595,0.982658165733596,,-0.9932478223256471
1889,0.32537,0.927391585557302,0.851392,0.426245,0.65912034936686,,-0.6839957638095581
1890,0.354491,0.9601365967954,0.862204,0.433865,0.77583903274902,,-0.75728043595362
1891,0.370988,0.98752229981486,0.860084,0.43643,0.205126601761414,,-0.14313030194655402
1892,0.374056,1.00434232812373,0.842912,0.44394,0.371802618713449,,-0.280256290589719
1893,0.369579,1.01707123571396,0.811324,0.45139,0.636781301821656,,-0.5128450661076962
1894,0.382471,1.03007555859375,0.772104,0.45927,0.536941846115838,,-0.355769287522088
1895,0.405546,1.04202187931697,0.726312,0.46162,0.629531498025756,,-0.369895618708786
1896,0.418779,1.05228215623856,0.663984,0.46931,1.08437187571846,,-0.7466047194798999
1897,0.438604,1.06366998807017,0.589572,0.47716,1.24197203330266,,-0.80643004523249
1898,0.462639,1.0709253184878,0.53106,0.479805,0.728768472806727,,-0.2060691543189268
1899,0.505411,1.07722810563278,0.495656,0.487715,0.160424995340746,,0.4388431102920339
1900,0.533486286,1.10744447011058,0.481664,0.491055,0.966625348119865,,-0.29841359200928497
1901,0.551207956,1.13239145501709,0.483148,0.499255,0.227000532606919,,0.47419587841017086
1902,0.565295352,1.14534369379298,0.497988,0.502425,-0.0567471558898536,,0.7669732016828338
1903,0.616758257,1.15964251668167,0.524912,0.51101,1.12509053523176,,-0.3846117615500899
1904,0.62335055,1.17239377626292,0.563496,0.519745,1.41667514195867,,-0.7041718156957503
1905,0.663798673,1.18405325726318,0.608228,0.52319,0.38777804714104,,0.32865588312213967
1906,0.697416875,1.19390517041016,0.641088,0.531915,1.05074069801844,,-0.33242165260828005
1907,0.78855375,1.20058441292572,0.668012,0.540975,1.1581584468852,,-0.3780072839594799
1908,0.759251527,1.20844526201884,0.687728,0.549505,1.06879851313563,,-0.3383347241167901
1909,0.789493407,1.21806625403086,0.699388,0.55817,0.734461776659452,,0.015539884371407964
1910,0.828242469,1.21077415745036,0.706596,0.56192,0.999521309155363,,-0.22902068270500275
